"seed","gen","scenario","rmate","args_kphen","args_rmate","args_theta","args_phi","he_rg","rg_true","he_h2","h2_true"
101,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.580838413481753,0.0635162888076713,0.697411811351776,0.310484848122258
102,0,"5xAM",0.2,5,0.2,0,0,0.000567816499473661,-0.000541708042877431,0.497904163599014,0.497910860961276
102,1,"5xAM",0.2,5,0.2,0,0,0.0995659165537746,0.0468662464515043,0.541939723491669,0.508734264004248
102,2,"5xAM",0.2,5,0.2,0,0,0.178374417480953,0.0810424486427958,0.581983256340027,0.518332262614839
102,3,"5xAM",0.2,5,0.2,0,0,0.234583663675917,0.103557895049787,0.606694602966309,0.525227753216934
102,4,"5xAM",0.2,5,0.2,0,0,0.256306001164815,0.115746072713882,0.627577292919159,0.531048859776275
102,5,"5xAM",0.2,5,0.2,0,0,0.28809132745763,0.126261798034154,0.65261857509613,0.534831748466909
102,0,"5xAM",0.2,5,0.2,0,0,0.000663317730408638,-0.000167969410803936,0.501156896352768,0.500197331045508
102,1,"5xAM",0.2,5,0.2,0,0,0.0998059787862197,0.047027488041396,0.541668319702148,0.511949090217257
102,2,"5xAM",0.2,5,0.2,0,0,0.171197557530607,0.0784269218749898,0.576726281642914,0.519586436849153
102,3,"5xAM",0.2,5,0.2,0,0,0.222870297124527,0.100697529888908,0.613361811637878,0.527775157239104
102,4,"5xAM",0.2,5,0.2,0,0,0.26145900589084,0.121184714559601,0.64831428527832,0.531916410254759
102,5,"5xAM",0.2,5,0.2,0,0,0.291582785411687,0.133539996650039,0.640995943546295,0.540972598649829
102,0,"5xAM",0.2,5,0.2,0,0,0.00258177077091392,0.00060224223862826,0.492027992010117,0.493165126203874
102,1,"5xAM",0.2,5,0.2,0,0,0.101128655419011,0.0474404890287622,0.532885277271271,0.504788688999427
102,2,"5xAM",0.2,5,0.2,0,0,0.170026464400475,0.0782061052697282,0.570550048351288,0.513847491258285
102,3,"5xAM",0.2,5,0.2,0,0,0.221665564505531,0.100281768401136,0.599672079086304,0.520276739449868
102,4,"5xAM",0.2,5,0.2,0,0,0.270206237589109,0.121145992265943,0.638086831569672,0.526537564119329
102,5,"5xAM",0.2,5,0.2,0,0,0.294942794130843,0.132748039446153,0.669316804409027,0.530780965772654
102,0,"5xAM + GxE",0.2,5,0.2,0,0.05,0.000358324584785308,-0.000525651746303859,0.501905101537705,0.499822112816053
102,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.102324078311242,0.0485828092490617,0.543539357185364,0.511791580076447
102,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.178717022570246,0.0816263737459312,0.580765545368195,0.518100057470642
102,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.233741810712778,0.103683230804773,0.607811880111694,0.524924964640216
102,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.274114547738934,0.121681713220133,0.636968696117401,0.534092913714231
102,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.314594218521914,0.136479963746442,0.670949804782867,0.535711378566903
102,0,"5xAM + GxE",0.2,5,0.2,0,0.05,-0.000826724145678585,-0.000745385787975589,0.501843553781509,0.503614133863801
102,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.10049545910385,0.0474305937913799,0.546848940849304,0.512870193593582
102,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.176344325334276,0.0815403559523369,0.58128377199173,0.521137393867405
102,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.230844563071096,0.104387519210776,0.612154591083527,0.528360373331285
102,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.260657677445445,0.120998400025466,0.640395379066467,0.536738735816252
102,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.318121109956894,0.138333509024401,0.656208372116089,0.538822563817125
102,0,"5xAM + GxE",0.2,5,0.2,0,0.05,-0.00173975631647174,-0.000763472592105399,0.499248170852661,0.49684807793669
102,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.0996408407892593,0.0462163146148493,0.534997916221619,0.505620311858966
102,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.17556592437041,0.0804685313620986,0.574310004711151,0.515138416636339
102,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.231883514510228,0.104002559000382,0.601036310195923,0.521561627100811
102,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.266050606131101,0.11871310803469,0.6320556640625,0.52687930775335
