"seed","gen","xAM","dx","value"
28,1,"2-variate","ALC",0.2927
29,1,"2-variate","ALC",0.2922
30,1,"2-variate","ALC",0.289225
31,1,"2-variate","ALC",0.29465
32,1,"2-variate","ALC",0.300075
33,1,"2-variate","ALC",0.287225
34,1,"2-variate","ALC",0.299
35,1,"2-variate","ALC",0.29385
36,1,"2-variate","ALC",0.297225
37,1,"2-variate","ALC",0.293425
38,1,"2-variate","ALC",0.28705
39,1,"2-variate","ALC",0.301925
40,1,"2-variate","ALC",0.29525
41,1,"2-variate","ALC",0.303
42,1,"2-variate","ALC",0.296225
43,1,"2-variate","ALC",0.292075
44,1,"2-variate","ALC",0.289875
45,1,"2-variate","ALC",0.295475
46,1,"2-variate","ALC",0.306425
47,1,"2-variate","ALC",0.29185
48,1,"2-variate","ALC",0.30535
49,1,"2-variate","ALC",0.2931
1,2,"2-variate","ALC",0.284475
2,2,"2-variate","ALC",0.29
3,2,"2-variate","ALC",0.302125
4,2,"2-variate","ALC",0.28645
5,2,"2-variate","ALC",0.2991
6,2,"2-variate","ALC",0.28835
7,2,"2-variate","ALC",0.293475
8,2,"2-variate","ALC",0.29625
9,2,"2-variate","ALC",0.2904
10,2,"2-variate","ALC",0.290225
11,2,"2-variate","ALC",0.2881
12,2,"2-variate","ALC",0.296225
13,2,"2-variate","ALC",0.295975
14,2,"2-variate","ALC",0.29145
15,2,"2-variate","ALC",0.293875
16,2,"2-variate","ALC",0.292475
17,2,"2-variate","ALC",0.296075
