"gen","xAM","outcome","pheno_1","pheno_2","value","se","Outcome","Generation"
0,"6-variate","rgHE","MDD","BIP",0.00539447551537172,0.0300768419883669,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","MDD","BIP",0.0441322842715337,0.0382407451948499,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","MDD","BIP",0.102438489216184,0.0335437424654229,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","MDD","BIP",0.137974435416918,0.0399022771977036,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","MDD","BIP",-0.000281965165485848,0.0123918016760507,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","MDD","BIP",0.0172615347437927,0.0133371259928198,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","MDD","BIP",0.0451953705770191,0.0127895100001549,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","MDD","BIP",0.0506537802919966,0.0157152927459018,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","SCZ","ADHD",-0.00271939670043951,0.0287437090383596,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","SCZ","ADHD",0.058661810648919,0.0311366813563192,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","SCZ","ADHD",0.160751590321017,0.0452438501521461,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","SCZ","ADHD",0.214533024081574,0.0448700267295805,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","SCZ","ADHD",-0.00147476379103445,0.012282615227038,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","SCZ","ADHD",0.0272522976615173,0.0151010301839782,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","SCZ","ADHD",0.0716655106725853,0.021702560140233,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","SCZ","ADHD",0.094804651229507,0.0227472620347792,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","SCZ","ALC",-0.00452617543093323,0.0271210258811487,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","SCZ","ALC",0.0636282135926914,0.027001198116703,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","SCZ","ALC",0.160348884086705,0.0326475391013737,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","SCZ","ALC",0.227951925198942,0.0337471054813041,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","SCZ","ALC",-0.00342929870490331,0.0122261103094815,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","SCZ","ALC",0.0303579866367814,0.0122304241103551,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","SCZ","ALC",0.0734423085384145,0.0128967739601478,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","SCZ","ALC",0.0994790736184197,0.0139328055963438,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","SCZ","ANX",0.00565878752218241,0.0284173227500531,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","SCZ","ANX",0.0906826108382998,0.0344719454913305,"hat(italic(r))[HE]","1~gen.~xAM"
