"gen","seed","scenario","variable","var_label","value","intercept"
3,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.213924730524521,0
4,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.255561403572353,0
5,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.290068570295094,0
0,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",-0.00146476490218811,0
1,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.101363921807078,0
2,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.184823822273929,0
3,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.240056960264067,0
4,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.274345324083059,0
5,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.301707852425891,0
0,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",1.93868573378391e-05,0
1,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.100906691971066,0
2,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.1784892261554,0
3,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.22475813437097,0
4,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.254988905855251,0
5,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.287327803351197,0
0,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",-0.000311785641737187,0
1,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.0988346848153846,0
2,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.16881774267755,0
3,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.227287862461008,0
4,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.262356449295579,0
5,101,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.301054879592747,0
0,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",-0.000562224034285885,0
1,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.317698199196391,0
2,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.460131345114741,0
3,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.516174780494383,0
4,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.55261310834623,0
