"seed","gen","variable","value","type","traits"
38,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.975871331499145,"rgHE","edu / height"
38,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05817677565427,"rgHE","edu / height"
38,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.97448775210861,"rgHE","edu / height"
38,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.994631969747,"rgHE","edu / height"
38,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.889259846631842,"rgHE","edu / height"
39,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.0769154669302287,"rgHE","edu / height"
39,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.958523981754341,"rgHE","edu / height"
39,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.973515701962421,"rgHE","edu / height"
39,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.997820238275163,"rgHE","edu / height"
39,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0611571042806,"rgHE","edu / height"
39,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.13454707715443,"rgHE","edu / height"
4,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
4,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01901909802376,"rgHE","edu / height"
4,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.983797297859871,"rgHE","edu / height"
4,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.928150912312982,"rgHE","edu / height"
4,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.952409830105203,"rgHE","edu / height"
4,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.978190151807815,"rgHE","edu / height"
40,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.0315461581650061,"rgHE","edu / height"
40,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.987110908584204,"rgHE","edu / height"
40,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.9805869997006,"rgHE","edu / height"
40,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03480356302604,"rgHE","edu / height"
40,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.982481638837619,"rgHE","edu / height"
40,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00821049360109,"rgHE","edu / height"
41,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.326363612178065,"rgHE","edu / height"
41,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00443691680607,"rgHE","edu / height"
41,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.997472987555139,"rgHE","edu / height"
41,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.998579729692653,"rgHE","edu / height"
41,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.04800403272897,"rgHE","edu / height"
41,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.913543961435674,"rgHE","edu / height"
42,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.135407559326917,"rgHE","edu / height"
42,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.997639261433555,"rgHE","edu / height"
42,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00852947853536,"rgHE","edu / height"
42,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01139552577943,"rgHE","edu / height"
42,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05242288091985,"rgHE","edu / height"
42,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.995725828579091,"rgHE","edu / height"
43,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
43,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02674677695111,"rgHE","edu / height"
43,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03404470023568,"rgHE","edu / height"
43,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.97380416798156,"rgHE","edu / height"
43,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0313285181216,"rgHE","edu / height"
43,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03272161764618,"rgHE","edu / height"
44,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.0899604319669437,"rgHE","edu / height"
