"seed","gen","variable","value","Outcome","Quantity"
66,4,"h2HE_height",0.694888353347778,"height","h2_HE"
66,5,"h2HE_height",0.692256808280945,"height","h2_HE"
67,0,"h2HE_height",0.61978554725647,"height","h2_HE"
67,1,"h2HE_height",0.664864301681519,"height","h2_HE"
67,2,"h2HE_height",0.692103147506714,"height","h2_HE"
67,3,"h2HE_height",0.711861312389374,"height","h2_HE"
67,4,"h2HE_height",0.716444194316864,"height","h2_HE"
67,5,"h2HE_height",0.730322957038879,"height","h2_HE"
68,0,"h2HE_height",0.592413306236267,"height","h2_HE"
68,1,"h2HE_height",0.645526230335236,"height","h2_HE"
68,2,"h2HE_height",0.679622828960419,"height","h2_HE"
68,3,"h2HE_height",0.681311011314392,"height","h2_HE"
68,4,"h2HE_height",0.696202099323273,"height","h2_HE"
68,5,"h2HE_height",0.722813189029694,"height","h2_HE"
69,0,"h2HE_height",0.618665754795074,"height","h2_HE"
69,1,"h2HE_height",0.662972986698151,"height","h2_HE"
69,2,"h2HE_height",0.69976395368576,"height","h2_HE"
69,3,"h2HE_height",0.705720841884613,"height","h2_HE"
69,4,"h2HE_height",0.743766248226166,"height","h2_HE"
69,5,"h2HE_height",0.73217648267746,"height","h2_HE"
7,0,"h2HE_height",0.621898829936981,"height","h2_HE"
7,1,"h2HE_height",0.672535836696625,"height","h2_HE"
7,2,"h2HE_height",0.712506830692291,"height","h2_HE"
7,3,"h2HE_height",0.733699440956116,"height","h2_HE"
7,4,"h2HE_height",0.753060758113861,"height","h2_HE"
7,5,"h2HE_height",0.744871437549591,"height","h2_HE"
70,0,"h2HE_height",0.603969812393188,"height","h2_HE"
70,1,"h2HE_height",0.649403035640717,"height","h2_HE"
70,2,"h2HE_height",0.688038468360901,"height","h2_HE"
70,3,"h2HE_height",0.697949230670929,"height","h2_HE"
70,4,"h2HE_height",0.694756150245667,"height","h2_HE"
70,5,"h2HE_height",0.71099841594696,"height","h2_HE"
71,0,"h2HE_height",0.612054646015167,"height","h2_HE"
71,1,"h2HE_height",0.666161417961121,"height","h2_HE"
71,2,"h2HE_height",0.685067474842072,"height","h2_HE"
71,3,"h2HE_height",0.711344480514526,"height","h2_HE"
71,4,"h2HE_height",0.722812056541443,"height","h2_HE"
71,5,"h2HE_height",0.748368382453918,"height","h2_HE"
72,0,"h2HE_height",0.603625416755676,"height","h2_HE"
72,1,"h2HE_height",0.656925737857819,"height","h2_HE"
72,2,"h2HE_height",0.695174276828766,"height","h2_HE"
72,3,"h2HE_height",0.712719261646271,"height","h2_HE"
72,4,"h2HE_height",0.745534598827362,"height","h2_HE"
72,5,"h2HE_height",0.761423468589783,"height","h2_HE"
73,0,"h2HE_height",0.617030739784241,"height","h2_HE"
73,1,"h2HE_height",0.656787633895874,"height","h2_HE"
73,2,"h2HE_height",0.701953649520874,"height","h2_HE"
73,3,"h2HE_height",0.712806105613708,"height","h2_HE"
73,4,"h2HE_height",0.735067248344421,"height","h2_HE"
73,5,"h2HE_height",0.739791095256805,"height","h2_HE"
74,0,"h2HE_height",0.61259526014328,"height","h2_HE"
74,1,"h2HE_height",0.657479822635651,"height","h2_HE"
74,2,"h2HE_height",0.68963098526001,"height","h2_HE"
74,3,"h2HE_height",0.725210845470428,"height","h2_HE"
74,4,"h2HE_height",0.724438190460205,"height","h2_HE"
74,5,"h2HE_height",0.736005544662476,"height","h2_HE"
75,0,"h2HE_height",0.59581196308136,"height","h2_HE"
