"gen","seed","args_rmate","args_kphen","args_theta","args_cnoise","he_rg","rg_true","scenario","CN"
0,103,0.1,5,0.05,0,-0.000926365393198777,0.000595275721209283,"5xAM + VT (5%)","0"
1,103,0.1,5,0.05,0,0.249823692797121,0.0173645191537024,"5xAM + VT (5%)","0"
2,103,0.1,5,0.05,0,0.345837123427457,0.0264547699893662,"5xAM + VT (5%)","0"
3,103,0.1,5,0.05,0,0.39148009941173,0.0306846442926768,"5xAM + VT (5%)","0"
4,103,0.1,5,0.05,0,0.398973193169857,0.0278738895825653,"5xAM + VT (5%)","0"
5,103,0.1,5,0.05,0,0.403591911315948,0.0279635311165831,"5xAM + VT (5%)","0"
0,104,0.1,5,0,0,-0.00216479518834502,-0.00125172323841036,"5xAM","0"
1,104,0.1,5,0,0,0.0480407132608525,0.0245804838518658,"5xAM","0"
2,104,0.1,5,0,0,0.082369649789277,0.0380036739544903,"5xAM","0"
3,104,0.1,5,0,0,0.100366364522259,0.0458551326663231,"5xAM","0"
4,104,0.1,5,0,0,0.115585890312066,0.0534025995823227,"5xAM","0"
5,104,0.1,5,0,0,0.121662444778775,0.0623438050580326,"5xAM","0"
0,104,0.1,5,0,0,0.00241469490704881,0.000212027852366009,"5xAM","0"
1,104,0.1,5,0,0,0.0546756634021598,0.0262468135265345,"5xAM","0"
2,104,0.1,5,0,0,0.0822327005183003,0.0395502193985133,"5xAM","0"
3,104,0.1,5,0,0,0.108773772777631,0.0479395969293762,"5xAM","0"
4,104,0.1,5,0,0,0.118569793754345,0.0551967901515923,"5xAM","0"
5,104,0.1,5,0,0,0.124774863492017,0.0532688221022897,"5xAM","0"
0,104,0.1,5,0,0,-0.000463681857133299,-0.000458621558938935,"5xAM","0"
1,104,0.1,5,0,0,0.0537641932891409,0.0262069309514744,"5xAM","0"
2,104,0.1,5,0,0,0.0915389025759001,0.0433005658680002,"5xAM","0"
3,104,0.1,5,0,0,0.114978224353253,0.052660975767809,"5xAM","0"
4,104,0.1,5,0,0,0.124691503250498,0.0553537894782869,"5xAM","0"
5,104,0.1,5,0,0,0.121198089401269,0.058235196746301,"5xAM","0"
0,104,0.1,5,0.05,0,0.00432874920806557,0.0010817836872451,"5xAM + VT (5%)","0"
1,104,0.1,5,0.05,0,0.234916508861769,0.0176454112702862,"5xAM + VT (5%)","0"
2,104,0.1,5,0.05,0,0.321514283053465,0.0291839094522487,"5xAM + VT (5%)","0"
3,104,0.1,5,0.05,0,0.349226159146093,0.0325139377291592,"5xAM + VT (5%)","0"
4,104,0.1,5,0.05,0,0.361983032033455,0.034114193801611,"5xAM + VT (5%)","0"
5,104,0.1,5,0.05,0,0.345038182560203,0.0301661652136071,"5xAM + VT (5%)","0"
0,104,0.1,5,0.05,0,-0.000853418579396682,-0.000697141599033532,"5xAM + VT (5%)","0"
1,104,0.1,5,0.05,0,0.234476006922088,0.0165985025592756,"5xAM + VT (5%)","0"
2,104,0.1,5,0.05,0,0.323924184660542,0.0270496362159941,"5xAM + VT (5%)","0"
3,104,0.1,5,0.05,0,0.351926865784008,0.0308901907924691,"5xAM + VT (5%)","0"
4,104,0.1,5,0.05,0,0.363511550009814,0.0328932566736165,"5xAM + VT (5%)","0"
5,104,0.1,5,0.05,0,0.358284842494836,0.0333588117025217,"5xAM + VT (5%)","0"
0,104,0.1,5,0.05,0,0.000498585486871723,-0.000427127637477805,"5xAM + VT (5%)","0"
1,104,0.1,5,0.05,0,0.246110042740091,0.0171187862798003,"5xAM + VT (5%)","0"
2,104,0.1,5,0.05,0,0.341084992200761,0.0268663502451236,"5xAM + VT (5%)","0"
3,104,0.1,5,0.05,0,0.389368741944091,0.033395774166482,"5xAM + VT (5%)","0"
4,104,0.1,5,0.05,0,0.409477409681992,0.035663845424929,"5xAM + VT (5%)","0"
5,104,0.1,5,0.05,0,0.408842984541089,0.0353064894512175,"5xAM + VT (5%)","0"
0,105,0.1,5,0,0,0.000990705682097168,0.000369538629771413,"5xAM","0"
1,105,0.1,5,0,0,0.0468177167055271,0.0239824732004664,"5xAM","0"
2,105,0.1,5,0,0,0.0790929389353648,0.0387016882338614,"5xAM","0"
3,105,0.1,5,0,0,0.103595005139782,0.0490388143082065,"5xAM","0"
4,105,0.1,5,0,0,0.129203142742055,0.0568614873373292,"5xAM","0"
5,105,0.1,5,0,0,0.127239799395098,0.0620464182379498,"5xAM","0"
0,105,0.1,5,0,0,0.000799866258765091,0.00065103476697579,"5xAM","0"
1,105,0.1,5,0,0,0.0502501343949129,0.0238497444781018,"5xAM","0"
2,105,0.1,5,0,0,0.0766759109820368,0.0382374219844962,"5xAM","0"
3,105,0.1,5,0,0,0.0994966355245771,0.0488415106442395,"5xAM","0"
4,105,0.1,5,0,0,0.133580514615827,0.0586619619054645,"5xAM","0"
5,105,0.1,5,0,0,0.128034263470112,0.0655418833583077,"5xAM","0"
0,105,0.1,5,0,0,-0.000960742575083922,9.6654549177946e-05,"5xAM","0"
1,105,0.1,5,0,0,0.0548732242691025,0.0259922356284901,"5xAM","0"
2,105,0.1,5,0,0,0.0819225370430216,0.0410394751485003,"5xAM","0"
3,105,0.1,5,0,0,0.104832364893539,0.0522599823417135,"5xAM","0"
4,105,0.1,5,0,0,0.126415858588125,0.0589036830840905,"5xAM","0"
5,105,0.1,5,0,0,0.149779899354606,0.0650603524581635,"5xAM","0"
0,105,0.1,5,0.05,0,0.000933292494317168,0.000565711358526069,"5xAM + VT (5%)","0"
1,105,0.1,5,0.05,0,0.237031586323555,0.0181536131092058,"5xAM + VT (5%)","0"
2,105,0.1,5,0.05,0,0.315309738470541,0.0264665382443616,"5xAM + VT (5%)","0"
3,105,0.1,5,0.05,0,0.353121221444205,0.0332723542445886,"5xAM + VT (5%)","0"
4,105,0.1,5,0.05,0,0.376732394298707,0.0388332802629406,"5xAM + VT (5%)","0"
5,105,0.1,5,0.05,0,0.376639223063649,0.0394308272092569,"5xAM + VT (5%)","0"
0,105,0.1,5,0.05,0,-0.00192848988079276,-0.00101410883915668,"5xAM + VT (5%)","0"
1,105,0.1,5,0.05,0,0.238291419134077,0.0174862773151506,"5xAM + VT (5%)","0"
2,105,0.1,5,0.05,0,0.322834963166042,0.0280509910213664,"5xAM + VT (5%)","0"
3,105,0.1,5,0.05,0,0.355317172736085,0.0332064479551052,"5xAM + VT (5%)","0"
4,105,0.1,5,0.05,0,0.380147241059472,0.0371153702931838,"5xAM + VT (5%)","0"
5,105,0.1,5,0.05,0,0.387717043935425,0.0392787902052919,"5xAM + VT (5%)","0"
0,105,0.1,5,0.05,0,0.000272139108451756,-0.000688649047294623,"5xAM + VT (5%)","0"
1,105,0.1,5,0.05,0,0.247193608858216,0.0163021389788874,"5xAM + VT (5%)","0"
2,105,0.1,5,0.05,0,0.345338651140005,0.0258648342419671,"5xAM + VT (5%)","0"
3,105,0.1,5,0.05,0,0.378340180774547,0.0301651397759119,"5xAM + VT (5%)","0"
4,105,0.1,5,0.05,0,0.38947768915013,0.0300525849080556,"5xAM + VT (5%)","0"
5,105,0.1,5,0.05,0,0.40238936217905,0.0314183006767452,"5xAM + VT (5%)","0"
0,106,0.1,5,0,0,-0.00114595070201125,-4.70238333062141e-05,"5xAM","0"
1,106,0.1,5,0,0,0.0516094602242395,0.0245091561618639,"5xAM","0"
2,106,0.1,5,0,0,0.0868381133199192,0.0404656567220489,"5xAM","0"
3,106,0.1,5,0,0,0.100262201073888,0.047992695388719,"5xAM","0"
4,106,0.1,5,0,0,0.130483149164029,0.0572414352571166,"5xAM","0"
5,106,0.1,5,0,0,0.128236633194069,0.0573551279816821,"5xAM","0"
0,106,0.1,5,0,0,0.000663874495772823,-1.3414559450135e-05,"5xAM","0"
1,106,0.1,5,0,0,0.0487229731832602,0.0233218273797383,"5xAM","0"
2,106,0.1,5,0,0,0.0857188554791363,0.0394869589661215,"5xAM","0"
3,106,0.1,5,0,0,0.100199535495772,0.0485981024547396,"5xAM","0"
4,106,0.1,5,0,0,0.130553652845818,0.0611558713877399,"5xAM","0"
5,106,0.1,5,0,0,0.112415752962531,0.0578781904891085,"5xAM","0"
0,106,0.1,5,0,0,0.000305081254619369,0.000241002872720357,"5xAM","0"
1,106,0.1,5,0,0,0.0539182933068411,0.0263595984358472,"5xAM","0"
2,106,0.1,5,0,0,0.0941280184067892,0.0433807290516126,"5xAM","0"
3,106,0.1,5,0,0,0.116949066035628,0.0545018987066714,"5xAM","0"
4,106,0.1,5,0,0,0.115952538030551,0.0561730998239858,"5xAM","0"
5,106,0.1,5,0,0,0.143088108484857,0.0622493499064022,"5xAM","0"
