"beta","T1E","N","m_causal","kpheno","gen","alpha","beta_quantile","N_label"
0.0234386362290435,0.172874934588667,1600000,4000,5,5,5e-08,0.96925,"1,600,000"
0.0234913767215458,0.175481680811132,1600000,4000,5,5,5e-08,0.9695,"1,600,000"
0.0235303419222612,0.177423486269346,1600000,4000,5,5,5e-08,0.96975,"1,600,000"
0.0236117227813208,0.181522596841758,1600000,4000,5,5,5e-08,0.97,"1,600,000"
-0.0236286645766837,0.182383341735601,1600000,4000,5,5,5e-08,0.97025,"1,600,000"
0.0237127097719752,0.186690939475712,1600000,4000,5,5,5e-08,0.9705,"1,600,000"
0.0237248832591638,0.187320052018038,1600000,4000,5,5,5e-08,0.97075,"1,600,000"
-0.0237706639774189,0.189697659460544,1600000,4000,5,5,5e-08,0.971,"1,600,000"
-0.0237996392714828,0.191212029038217,1600000,4000,5,5,5e-08,0.97125,"1,600,000"
-0.0238143795864308,0.191985255048744,1600000,4000,5,5,5e-08,0.9715,"1,600,000"
0.0239066301394876,0.196867728699658,1600000,4000,5,5,5e-08,0.97175,"1,600,000"
0.023910938248432,0.197097562907587,1600000,4000,5,5,5e-08,0.972,"1,600,000"
0.0239321456958507,0.19823132829426,1600000,4000,5,5,5e-08,0.97225,"1,600,000"
0.0239795085475411,0.200777551585705,1600000,4000,5,5,5e-08,0.9725,"1,600,000"
-0.0240782309040205,0.206147550576382,1600000,4000,5,5,5e-08,0.97275,"1,600,000"
-0.0241064027737572,0.207695433548266,1600000,4000,5,5,5e-08,0.973,"1,600,000"
-0.0241775367849186,0.211634263304157,1600000,4000,5,5,5e-08,0.97325,"1,600,000"
-0.0242013648605775,0.212963382711309,1600000,4000,5,5,5e-08,0.9735,"1,600,000"
-0.0242084772848168,0.21336105233639,1600000,4000,5,5,5e-08,0.97375,"1,600,000"
-0.0242438992741364,0.215348000612493,1600000,4000,5,5,5e-08,0.974,"1,600,000"
0.0242805371738709,0.217414402965557,1600000,4000,5,5,5e-08,0.97425,"1,600,000"
0.0242860630527497,0.217727056623673,1600000,4000,5,5,5e-08,0.9745,"1,600,000"
-0.0243142738412533,0.219327256436858,1600000,4000,5,5,5e-08,0.97475,"1,600,000"
0.0243383985658345,0.220701026966906,1600000,4000,5,5,5e-08,0.975,"1,600,000"
0.0243747333265497,0.222779363118788,1600000,4000,5,5,5e-08,0.97525,"1,600,000"
-0.0244052350898282,0.224532630428365,1600000,4000,5,5,5e-08,0.9755,"1,600,000"
-0.0244086631796976,0.224730168078407,1600000,4000,5,5,5e-08,0.97575,"1,600,000"
0.0244314955677358,0.226048355366353,1600000,4000,5,5,5e-08,0.976,"1,600,000"
0.0245070345750493,0.230440468130225,1600000,4000,5,5,5e-08,0.97625,"1,600,000"
-0.0246307415998825,0.237735188158694,1600000,4000,5,5,5e-08,0.9765,"1,600,000"
0.024692836992405,0.241444011551857,1600000,4000,5,5,5e-08,0.97675,"1,600,000"
-0.0247217656702978,0.243182529107397,1600000,4000,5,5,5e-08,0.977,"1,600,000"
-0.0247455823641049,0.244618896638401,1600000,4000,5,5,5e-08,0.97725,"1,600,000"
-0.0247827748588803,0.246871055259416,1600000,4000,5,5,5e-08,0.9775,"1,600,000"
-0.0248647319281642,0.2518728052064,1600000,4000,5,5,5e-08,0.97775,"1,600,000"
0.0248702099731606,0.252209020762284,1600000,4000,5,5,5e-08,0.978,"1,600,000"
0.0249861790583441,0.25938179725655,1600000,4000,5,5,5e-08,0.97825,"1,600,000"
0.0250022736934481,0.260385524053937,1600000,4000,5,5,5e-08,0.9785,"1,600,000"
-0.025023045769503,0.261683905498867,1600000,4000,5,5,5e-08,0.97875,"1,600,000"
0.0252264304822481,0.274569783637082,1600000,4000,5,5,5e-08,0.979,"1,600,000"
-0.0252397901430133,0.275427042036478,1600000,4000,5,5,5e-08,0.97925,"1,600,000"
-0.025267902593738,0.27723524143452,1600000,4000,5,5,5e-08,0.9795,"1,600,000"
-0.0254740648341161,0.290670172926076,1600000,4000,5,5,5e-08,0.97975,"1,600,000"
0.0254897637273476,0.291705569861986,1600000,4000,5,5,5e-08,0.98,"1,600,000"
0.0255052127579412,0.292726162053258,1600000,4000,5,5,5e-08,0.98025,"1,600,000"
0.0255081936996411,0.292923279351328,1600000,4000,5,5,5e-08,0.9805,"1,600,000"
-0.0255785746934823,0.297595067876234,1600000,4000,5,5,5e-08,0.98075,"1,600,000"
-0.0256294754420507,0.300994826658722,1600000,4000,5,5,5e-08,0.981,"1,600,000"
0.0256624883449685,0.303209136949926,1600000,4000,5,5,5e-08,0.98125,"1,600,000"
-0.0256771583125334,0.304195442965663,1600000,4000,5,5,5e-08,0.9815,"1,600,000"
-0.0257315470884377,0.307864564908814,1600000,4000,5,5,5e-08,0.98175,"1,600,000"
-0.0257999956426198,0.312509575189561,1600000,4000,5,5,5e-08,0.982,"1,600,000"
0.0259586670476918,0.323391441351009,1600000,4000,5,5,5e-08,0.98225,"1,600,000"
-0.0259873670763013,0.325376315328631,1600000,4000,5,5,5e-08,0.9825,"1,600,000"
-0.0263001062226835,0.347316371950573,1600000,4000,5,5,5e-08,0.98275,"1,600,000"
-0.026305744099455,0.347716905204786,1600000,4000,5,5,5e-08,0.983,"1,600,000"
-0.026401749197063,0.354563185709932,1600000,4000,5,5,5e-08,0.98325,"1,600,000"
-0.0264055589827123,0.354835856694332,1600000,4000,5,5,5e-08,0.9835,"1,600,000"
-0.0264397018903818,0.357282810243554,1600000,4000,5,5,5e-08,0.98375,"1,600,000"
0.0264694661931928,0.359420759045749,1600000,4000,5,5,5e-08,0.984,"1,600,000"
