"seed","gen","scenario","variable","value","xAM","args_kmate","power"
106,4,"2xAM","rg_true",0.106479711443067,"2-variate xAM",2,"50%"
106,5,"2xAM","rg_true",0.103977472888482,"2-variate xAM",2,"50%"
106,0,"2xAM","rg_true",-0.00290409933267385,"2-variate xAM",2,"39%"
106,1,"2xAM","rg_true",0.0516483237830669,"2-variate xAM",2,"39%"
106,2,"2xAM","rg_true",0.0754926297062456,"2-variate xAM",2,"39%"
106,3,"2xAM","rg_true",0.0953653712160858,"2-variate xAM",2,"39%"
106,4,"2xAM","rg_true",0.0975983696193382,"2-variate xAM",2,"39%"
106,5,"2xAM","rg_true",0.095852703436783,"2-variate xAM",2,"39%"
106,0,"2xAM","rg_true",-0.000151803343490645,"2-variate xAM",2,"66%"
106,1,"2xAM","rg_true",0.0458968935522227,"2-variate xAM",2,"66%"
106,2,"2xAM","rg_true",0.0749277975709527,"2-variate xAM",2,"66%"
106,3,"2xAM","rg_true",0.081749159901968,"2-variate xAM",2,"66%"
106,4,"2xAM","rg_true",0.0994423400729134,"2-variate xAM",2,"66%"
106,5,"2xAM","rg_true",0.0929680161038065,"2-variate xAM",2,"66%"
106,0,"5xAM","rg_true",-0.000155748832203275,"5-variate xAM",5,"66%"
106,1,"5xAM","rg_true",0.0457406491155922,"5-variate xAM",5,"66%"
106,2,"5xAM","rg_true",0.0795045007252896,"5-variate xAM",5,"66%"
106,3,"5xAM","rg_true",0.103869739823466,"5-variate xAM",5,"66%"
106,4,"5xAM","rg_true",0.116095559480112,"5-variate xAM",5,"66%"
106,5,"5xAM","rg_true",0.12873099457495,"5-variate xAM",5,"66%"
106,0,"5xAM","rg_true",-5.2820051440403e-05,"5-variate xAM",5,"50%"
106,1,"5xAM","rg_true",0.0504480588803096,"5-variate xAM",5,"50%"
106,2,"5xAM","rg_true",0.0839791372896432,"5-variate xAM",5,"50%"
106,3,"5xAM","rg_true",0.110310600469392,"5-variate xAM",5,"50%"
106,4,"5xAM","rg_true",0.123708287623241,"5-variate xAM",5,"50%"
106,5,"5xAM","rg_true",0.136004547231058,"5-variate xAM",5,"50%"
106,0,"5xAM","rg_true",1.18112992215972e-05,"5-variate xAM",5,"39%"
106,1,"5xAM","rg_true",0.0472152134275424,"5-variate xAM",5,"39%"
106,2,"5xAM","rg_true",0.0802852667909814,"5-variate xAM",5,"39%"
106,3,"5xAM","rg_true",0.10192550617036,"5-variate xAM",5,"39%"
106,4,"5xAM","rg_true",0.119432213260297,"5-variate xAM",5,"39%"
106,5,"5xAM","rg_true",0.134780177899577,"5-variate xAM",5,"39%"
107,0,"2xAM","rg_true",-0.00107574345755927,"2-variate xAM",2,"50%"
107,1,"2xAM","rg_true",0.048080203202948,"2-variate xAM",2,"50%"
107,2,"2xAM","rg_true",0.0726962585024971,"2-variate xAM",2,"50%"
107,3,"2xAM","rg_true",0.0876164292401225,"2-variate xAM",2,"50%"
107,4,"2xAM","rg_true",0.104823005927663,"2-variate xAM",2,"50%"
107,5,"2xAM","rg_true",0.11620485550374,"2-variate xAM",2,"50%"
107,0,"2xAM","rg_true",-0.00176986868001884,"2-variate xAM",2,"39%"
107,1,"2xAM","rg_true",0.0463794889938712,"2-variate xAM",2,"39%"
107,2,"2xAM","rg_true",0.0789536478328508,"2-variate xAM",2,"39%"
107,3,"2xAM","rg_true",0.0891397949422017,"2-variate xAM",2,"39%"
107,4,"2xAM","rg_true",0.109405157425627,"2-variate xAM",2,"39%"
107,5,"2xAM","rg_true",0.122914032328665,"2-variate xAM",2,"39%"
107,0,"2xAM","rg_true",-6.15991197881417e-05,"2-variate xAM",2,"66%"
107,1,"2xAM","rg_true",0.0456146779488257,"2-variate xAM",2,"66%"
107,2,"2xAM","rg_true",0.0716833377415724,"2-variate xAM",2,"66%"
107,3,"2xAM","rg_true",0.0919534655695663,"2-variate xAM",2,"66%"
107,4,"2xAM","rg_true",0.10115606617491,"2-variate xAM",2,"66%"
107,5,"2xAM","rg_true",0.109380785094045,"2-variate xAM",2,"66%"
107,0,"5xAM","rg_true",0.0015689001031728,"5-variate xAM",5,"66%"
107,1,"5xAM","rg_true",0.0478568137874773,"5-variate xAM",5,"66%"
107,2,"5xAM","rg_true",0.0802746264580911,"5-variate xAM",5,"66%"
107,3,"5xAM","rg_true",0.104062145676423,"5-variate xAM",5,"66%"
107,4,"5xAM","rg_true",0.12397300863182,"5-variate xAM",5,"66%"
